iter	Passed	Remaining
0	152	152369
1	154	77117
2	156	51956
3	158	39343
4	159	31821
5	161	26730
6	163	23166
7	165	20476
8	166	18363
9	168	16674
10	170	15318
11	172	14195
12	174	13222
13	176	12417
14	178	11702
15	179	11067
16	181	10516
17	183	10007
18	185	9556
19	186	9147
20	188	8769
21	189	8429
22	191	8128
23	193	7858
24	194	7594
25	196	7351
26	197	7121
27	199	6913
28	200	6721
29	202	6549
30	204	6389
31	206	6238
32	208	6095
33	209	5965
34	211	5834
35	213	5714
36	215	5607
37	217	5502
38	219	5403
39	220	5297
40	222	5197
41	223	5108
42	225	5018
43	227	4936
44	229	4861
45	230	4787
46	232	4714
47	234	4642
48	235	4575
49	237	4510
50	239	4449
51	240	4387
52	242	4331
53	244	4277
54	245	4225
55	247	4173
56	249	4123
57	250	4074
58	252	4026
59	253	3978
60	255	3935
61	257	3894
62	259	3853
63	260	3812
64	262	3772
65	263	3731
66	265	3693
67	265	3644
68	267	3604
69	268	3567
70	270	3533
71	271	3499
72	273	3469
73	275	3443
74	276	3411
75	278	3384
76	280	3361
77	282	3334
78	283	3307
79	285	3282
80	287	3260
81	289	3236
82	290	3213
83	292	3190
84	293	3161
85	295	3137
86	296	3111
87	298	3090
88	300	3077
89	302	3057
90	304	3038
91	306	3024
92	308	3007
93	310	2989
94	312	2974
95	314	2960
96	316	2943
97	317	2924
98	319	2906
99	320	2888
100	322	2870
101	323	2846
102	324	2830
103	326	2813
104	328	2797
105	329	2781
106	331	2765
107	332	2750
108	334	2735
109	336	2722
110	338	2707
111	339	2694
112	341	2680
113	343	2668
114	345	2655
115	346	2640
116	348	2631
117	350	2621
118	352	2606
119	354	2597
120	356	2587
121	358	2579
122	359	2561
123	360	2549
124	362	2538
125	364	2529
126	366	2518
127	367	2505
128	369	2493
129	371	2483
130	372	2472
131	374	2461
132	375	2450
133	377	2440
134	379	2430
135	381	2423
136	383	2412
137	384	2401
138	386	2393
139	388	2384
140	390	2376
141	391	2366
142	393	2359
143	395	2351
144	397	2342
145	398	2333
146	400	2323
147	402	2318
148	404	2309
149	405	2300
150	408	2295
151	410	2290
152	412	2283
153	414	2275
154	415	2267
155	417	2260
156	419	2253
157	421	2245
158	423	2239
159	425	2231
160	426	2224
161	428	2217
162	430	2208
163	431	2201
164	433	2193
165	435	2186
166	436	2178
167	438	2171
168	440	2164
169	441	2157
170	443	2149
171	445	2142
172	446	2135
173	448	2128
174	450	2122
175	452	2117
176	453	2110
177	455	2103
178	457	2097
179	459	2092
180	460	2082
181	461	2075
182	464	2073
183	466	2066
184	467	2061
185	469	2054
186	471	2048
187	472	2042
188	474	2036
189	476	2030
190	477	2024
191	479	2017
192	481	2012
193	482	2006
194	484	2000
195	486	1994
196	487	1988
197	489	1983
198	491	1976
199	492	1971
200	494	1966
201	496	1960
202	497	1955
203	499	1950
204	501	1945
205	503	1940
206	505	1936
207	507	1930
208	508	1924
209	510	1920
210	512	1915
211	514	1910
212	515	1906
213	517	1901
214	519	1896
215	521	1891
216	522	1885
217	524	1880
218	525	1875
219	527	1871
220	529	1865
221	530	1860
222	532	1856
223	534	1850
224	535	1845
225	537	1841
226	539	1837
227	541	1832
228	542	1828
229	545	1825
230	546	1820
231	548	1815
232	550	1810
233	551	1806
234	553	1801
235	554	1795
236	556	1790
237	557	1785
238	559	1780
239	560	1775
240	562	1770
241	563	1765
242	565	1760
243	566	1755
244	568	1750
245	569	1745
246	570	1740
247	572	1736
248	574	1732
249	576	1728
250	577	1723
251	579	1719
252	581	1715
253	582	1711
254	584	1708
255	586	1704
256	588	1700
257	590	1697
258	591	1693
259	593	1689
260	595	1685
261	596	1681
262	598	1677
263	600	1673
264	601	1669
265	603	1666
266	605	1662
267	607	1658
268	609	1655
269	611	1652
270	612	1648
271	614	1645
272	616	1641
273	618	1639
274	620	1636
275	622	1632
276	624	1629
277	626	1626
278	628	1623
279	630	1620
280	632	1617
281	633	1614
282	635	1610
